001  00001 |Loss: 2.341 | Acc: 11.000% 
001  00002 |Loss: 2.311 | Acc: 14.000% 
001  00003 |Loss: 2.338 | Acc: 14.000% 
001  00004 |Loss: 2.331 | Acc: 15.000% 
001  00005 |Loss: 2.332 | Acc: 15.000% 
001  00006 |Loss: 2.296 | Acc: 17.000% 
001  00007 |Loss: 2.333 | Acc: 16.000% 
001  00008 |Loss: 2.349 | Acc: 16.000% 
001  00009 |Loss: 2.332 | Acc: 17.000% 
001  00010 |Loss: 2.340 | Acc: 17.000% 
001  00011 |Loss: 2.321 | Acc: 17.000% 
001  00012 |Loss: 2.306 | Acc: 18.000% 
001  00013 |Loss: 2.296 | Acc: 18.000% 
001  00014 |Loss: 2.297 | Acc: 18.000% 
001  00015 |Loss: 2.299 | Acc: 18.000% 
001  00016 |Loss: 2.284 | Acc: 18.000% 
001  00017 |Loss: 2.285 | Acc: 18.000% 
001  00018 |Loss: 2.278 | Acc: 19.000% 
001  00019 |Loss: 2.263 | Acc: 19.000% 
001  00020 |Loss: 2.261 | Acc: 18.000% 
001  00021 |Loss: 2.267 | Acc: 18.000% 
001  00022 |Loss: 2.259 | Acc: 18.000% 
001  00023 |Loss: 2.244 | Acc: 18.000% 
001  00024 |Loss: 2.240 | Acc: 18.000% 
001  00025 |Loss: 2.239 | Acc: 18.000% 
001  00026 |Loss: 2.244 | Acc: 18.000% 
001  00027 |Loss: 2.236 | Acc: 19.000% 
001  00028 |Loss: 2.228 | Acc: 19.000% 
001  00029 |Loss: 2.225 | Acc: 19.000% 
001  00030 |Loss: 2.227 | Acc: 19.000% 
001  00031 |Loss: 2.230 | Acc: 19.000% 
001  00032 |Loss: 2.224 | Acc: 19.000% 
001  00033 |Loss: 2.220 | Acc: 19.000% 
001  00034 |Loss: 2.216 | Acc: 20.000% 
001  00035 |Loss: 2.210 | Acc: 20.000% 
001  00036 |Loss: 2.211 | Acc: 20.000% 
001  00037 |Loss: 2.204 | Acc: 20.000% 
001  00038 |Loss: 2.202 | Acc: 20.000% 
001  00039 |Loss: 2.195 | Acc: 20.000% 
001  00040 |Loss: 2.191 | Acc: 20.000% 
001  00041 |Loss: 2.189 | Acc: 20.000% 
001  00042 |Loss: 2.186 | Acc: 20.000% 
001  00043 |Loss: 2.181 | Acc: 20.000% 
001  00044 |Loss: 2.174 | Acc: 20.000% 
001  00045 |Loss: 2.168 | Acc: 20.000% 
001  00046 |Loss: 2.162 | Acc: 20.000% 
001  00047 |Loss: 2.158 | Acc: 21.000% 
001  00048 |Loss: 2.153 | Acc: 21.000% 
001  00049 |Loss: 2.148 | Acc: 21.000% 
001  00050 |Loss: 2.143 | Acc: 21.000% 
001  00051 |Loss: 2.139 | Acc: 21.000% 
001  00052 |Loss: 2.137 | Acc: 21.000% 
001  00053 |Loss: 2.132 | Acc: 21.000% 
001  00054 |Loss: 2.127 | Acc: 22.000% 
001  00055 |Loss: 2.122 | Acc: 22.000% 
001  00056 |Loss: 2.117 | Acc: 22.000% 
001  00057 |Loss: 2.112 | Acc: 22.000% 
001  00058 |Loss: 2.109 | Acc: 22.000% 
001  00059 |Loss: 2.104 | Acc: 22.000% 
001  00060 |Loss: 2.100 | Acc: 22.000% 
001  00061 |Loss: 2.098 | Acc: 23.000% 
001  00062 |Loss: 2.094 | Acc: 23.000% 
001  00063 |Loss: 2.088 | Acc: 23.000% 
001  00064 |Loss: 2.087 | Acc: 23.000% 
001  00065 |Loss: 2.081 | Acc: 23.000% 
001  00066 |Loss: 2.078 | Acc: 23.000% 
001  00067 |Loss: 2.072 | Acc: 23.000% 
001  00068 |Loss: 2.067 | Acc: 24.000% 
001  00069 |Loss: 2.066 | Acc: 24.000% 
001  00070 |Loss: 2.062 | Acc: 24.000% 
001  00071 |Loss: 2.057 | Acc: 24.000% 
001  00072 |Loss: 2.055 | Acc: 24.000% 
001  00073 |Loss: 2.055 | Acc: 24.000% 
001  00074 |Loss: 2.052 | Acc: 24.000% 
001  00075 |Loss: 2.049 | Acc: 24.000% 
001  00076 |Loss: 2.047 | Acc: 24.000% 
001  00077 |Loss: 2.045 | Acc: 24.000% 
001  00078 |Loss: 2.040 | Acc: 24.000% 
001  00079 |Loss: 2.038 | Acc: 25.000% 
001  00080 |Loss: 2.034 | Acc: 25.000% 
001  00081 |Loss: 2.031 | Acc: 25.000% 
001  00082 |Loss: 2.026 | Acc: 25.000% 
001  00083 |Loss: 2.024 | Acc: 25.000% 
001  00084 |Loss: 2.021 | Acc: 25.000% 
001  00085 |Loss: 2.017 | Acc: 25.000% 
001  00086 |Loss: 2.014 | Acc: 25.000% 
001  00087 |Loss: 2.011 | Acc: 25.000% 
001  00088 |Loss: 2.007 | Acc: 26.000% 
001  00089 |Loss: 2.003 | Acc: 26.000% 
001  00090 |Loss: 2.001 | Acc: 26.000% 
001  00091 |Loss: 1.997 | Acc: 26.000% 
001  00092 |Loss: 1.994 | Acc: 26.000% 
001  00093 |Loss: 1.991 | Acc: 26.000% 
001  00094 |Loss: 1.989 | Acc: 26.000% 
001  00095 |Loss: 1.986 | Acc: 26.000% 
001  00096 |Loss: 1.982 | Acc: 26.000% 
001  00097 |Loss: 1.981 | Acc: 26.000% 
001  00098 |Loss: 1.978 | Acc: 26.000% 
001  00099 |Loss: 1.975 | Acc: 26.000% 
001  00100 |Loss: 1.972 | Acc: 27.000% 
